timestamp,health,primary_ammo,primary_in_mag,secondary_ammo,secondary_in_mag,prev_health_3s,enemy_shown,action_took
1747323166.5839322,100,19,40,10,50,40,0,change_primary
1747323168.5866203,100,19,40,10,50,4294967254,0,change_secondary
1747323169.5879593,100,19,40,9,50,100,0,change_primary
1747323169.5879593,100,19,40,9,50,100,0,change_primary
1747323171.5948608,100,19,40,9,50,100,0,change_primary
1747323171.5948608,100,19,40,9,50,100,0,change_primary
1747323171.5948608,100,19,40,9,50,100,0,change_secondary
1747323171.5948608,100,19,40,9,50,100,0,change_secondary
1747323172.6000202,100,19,40,9,50,100,0,change_primary
1747323172.6000202,100,19,40,9,50,100,0,change_primary
1747323176.608588,100,16,40,9,50,100,0,change_secondary
1747323184.625644,82,9,60,10,30,100,0,change_primary
1747323186.628732,82,9,60,9,30,100,1,change_primary
1747323186.628732,82,9,60,9,30,100,1,change_primary
1747323188.6310391,80,2,60,5,30,82,0,reload
1747323188.6310391,80,2,60,5,30,82,0,reload
1747323194.6444478,80,6,60,5,30,80,0,reload
1747323201.653686,80,20,22,5,30,80,0,change_secondary
1747323202.6597838,80,20,22,5,30,80,0,change_secondary
1747323202.6597838,80,20,22,5,30,80,0,change_secondary
1747323203.6619897,80,19,22,5,30,80,0,change_secondary
1747323203.6619897,80,19,22,5,30,80,0,change_secondary
1747323210.681005,100,20,40,10,50,4294967273,0,change_primary
1747323210.681005,100,20,40,10,50,4294967273,0,change_primary
1747323218.695296,100,3,60,10,50,100,0,change_secondary
1747323218.695296,100,3,60,10,50,100,0,change_secondary
1747323220.6985598,100,3,60,2,50,100,0,change_primary
1747323220.6985598,100,3,60,2,50,100,0,change_primary
1747323229.7135851,46,14,20,2,50,64,1,change_primary
1747323229.7135851,46,14,20,2,50,64,1,change_primary
1747323229.7135851,46,14,20,2,50,64,1,change_secondary
1747323234.7205358,46,12,20,8,40,46,0,change_primary
1747323239.768327,46,2,20,4,40,46,0,change_primary
1747323239.768327,46,2,20,4,40,46,0,change_primary
1747323242.7731225,46,20,0,4,40,46,0,reload
1747323242.7731225,46,20,0,4,40,46,0,reload
1747323243.7754424,46,17,0,4,40,46,0,reload
1747323243.7754424,46,17,0,4,40,46,0,reload
1747323243.7754424,46,17,0,4,40,46,0,change_secondary
1747323243.7754424,46,17,0,4,40,46,0,change_secondary
1747323245.778875,46,17,0,10,30,46,1,reload
